Altium Designer Pick and Place Locations
C:\Users\dudkr\OneDrive\Desktop\brd3\brd3\Project Outputs for brd3\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       20/10/24
Time:       00:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J4","PPTC061LFBN-RC","TopLayer","6_PIN_ARD-Analog_100mil","3350.000","1010.000","0","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J3","PPTC081LFBN-RC","TopLayer","8_PIN_ARD-DIG_100MIL","3250.000","2910.000","0","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J2","PPTC101LFBN-RC","TopLayer","10_PIN_ARDUINO_100MIL","2290.000","2910.000","0","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"U1","ATMEGA328P-ANR","TopLayer","ATMega328P","2750.000","1990.000","90","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"C9","47nF","TopLayer","1206_Passive_Capacitor","3370.000","1660.000","90","47nF ±5% 50V C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C6","22uF","TopLayer","1206_Passive_Capacitor","2770.000","2430.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C3","22uF","TopLayer","1206_Passive_Capacitor","2420.000","1390.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C8","1uF","TopLayer","1206_Passive_Capacitor","3610.000","2450.000","270","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C4","22uF","TopLayer","1206_Passive_Capacitor","2719.000","1250.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"J1","PPTC081LFBN-RC","TopLayer","8_PIN_ARD-PWR_100MIL","2550.000","1010.000","0","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"Y2","X322512MSB4SI","TopLayer","Crystal_resonator","1090.000","2281.968","180","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"Y1","X322516MLB4SI","TopLayer","Crystal_resonator","2468.032","2420.000","270","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"U2","CH340G","TopLayer","USB_to_serial","1250.000","2640.000","270","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"TP7","txtp","TopLayer","TP10x_Probe","210.000","2610.000","90","Test Point 300 mil centers"
"TP6","rxtp","TopLayer","TP10x_Probe","670.000","3240.000","180","Test Point 300 mil centers"
"TP5","resettp","TopLayer","TP10x_Probe","3580.000","1580.000","270","Test Point 300 mil centers"
"TP4","atmegaXTALtp","TopLayer","TP10x_Probe","2520.000","2740.000","180","Test Point 300 mil centers"
"TP3","rg5vtp","TopLayer","TP10x_Probe","650.000","1660.000","90","Test Point 300 mil centers"
"TP2","3.3v tp","TopLayer","TP10x_Probe","310.000","2030.000","0","Test Point 300 mil centers"
"TP1","5v TP","TopLayer","TP10x_Probe","1220.000","530.000","270","Test Point 300 mil centers"
"SW3","TL3305AF160QG","TopLayer","Switch_JLC","380.000","460.000","0","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW2","PREC003SAAN-RC","TopLayer","3_PIN_100mil","1020.000","960.000","270","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"SW1","led_on_off_sw","TopLayer","2Pin-Header-Conn","1390.000","1160.000","270","2Pin Header"
"R9","1M","TopLayer","1206_Passive_Resitor","950.000","2480.000","180","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R8","1k","TopLayer","1206_Passive_Resitor","1150.000","3050.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R7","1k","TopLayer","1206_Passive_Resitor","690.000","2589.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R6","10k","TopLayer","1206_Passive_Resitor","1731.000","1210.000","0","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R5","1k","TopLayer","1206_Passive_Resitor","3730.000","1830.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R4","1M","TopLayer","1206_Passive_Resitor","2460.000","2610.000","180","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R3","1k","TopLayer","1206_Passive_Resitor","900.000","1790.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R2","1k","TopLayer","1206_Passive_Resitor","830.000","300.000","0","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R1","1k","TopLayer","1206_Passive_Resitor","490.000","1260.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"PS1","AMS1117-3.3","TopLayer","LDO","270.000","1635.079","0","LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 1.3V @ 800MA 15V 3.3V 1A SOT-223 ROHS"
"P1","Power Jack","TopLayer","Power_Jack","481.890","778.465","180","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"LED6","Red","TopLayer","LED_1206","930.000","2990.000","90","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED5","Red","TopLayer","LED_1206","820.000","2700.000","270","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED4","Red","TopLayer","LED_1206","3660.000","2040.000","0","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED3","Red","TopLayer","LED_1206","890.000","1500.000","90","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED2","Red","TopLayer","LED_1206","260.000","1200.000","180","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED1","Red","TopLayer","LED_1206","820.000","460.000","0","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"L1","FB_10uH_1206","TopLayer","AIML-1206_ABR-M","2170.000","1960.000","270","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS"
"J5","USB Mini","TopLayer","USB_MINI_B","180.000","3070.000","270","Through Hole USB Connectors RoHS"
"C12","22pF","TopLayer","1206_Passive_Capacitor","1100.000","2120.000","180","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C11","22pF","TopLayer","1206_Passive_Capacitor","890.000","2310.000","90","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C10","22uF","TopLayer","1206_Passive_Capacitor","1410.000","2970.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C7","22pF","TopLayer","1206_Passive_Capacitor","2630.000","2430.000","270","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C5","22pF","TopLayer","1206_Passive_Capacitor","2270.000","2430.000","90","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C2","1uF","TopLayer","1206_Passive_Capacitor","240.000","1380.000","0","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C1","22uF","TopLayer","1206_Passive_Capacitor","560.000","200.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
